"user_id","timestamp","ai_response","gender","user_message"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:11:59.527622","안뇽안뇽! 무슨 일 있어? 요즘 어떻게 지내?","female","안뇽안뇽"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:12:11.448743","""오, 내일 발표구나! 준비는 잘 돼가? 떨리진 않아?""","female","나 내일 랩미팅 발표해"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:12:21.367521","""아, 왜 그래? 무슨 일 있었어? 발표 준비하면서 힘든 일 있었어?""","female","망했어 난"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:12:29.499948","""아, 진짜 속상하겠다. 시뮬레이션 잘 되게 하려면 뭐가 필요할까?""","female","시뮬레이션이 잘 안돼"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:12:40.792783","""아, 그렇지... 진짜 답답하겠다. 지금 할 수 있는 게 뭐가 있을까? 좀 더 쉬어가면서 다시 해볼까?""","female","그걸 내가 어떻게 알아"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:12:50.907132","""그래, 조금 쉬면서 마음 정리하는 것도 좋을 것 같아. 잠깐 쉬면서 좋아하는 거 하거나, 다른 거 하면 어때?""","female","응.."
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:13:00.156918","""좋아, 화이팅이야! 쉬면서 기운 차리길 바래. 나중에 뭐 하고 싶은 거 있으면 또 얘기해줘! 😊""","female","ㅇㅋ~~"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:13:08.131095","""오, 뭐 마시고 싶어? 시원한 음료 한 잔 어때?""","female","목말라"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:13:13.539718","내가 대신 떠다줄 수 있으면 좋을 텐데! 얼른 시원한 물 한 잔 마셔서 갈증 해소해봐. 😊","female","물떠다줘"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:13:21.870218","""아, 그럴 때 있지. 누워 있다가 좀 쉬고 싶을 때 많아. 그래도 잠깐 힘내서 물 마시면 기분 좀 나아질 거야!""","female","귀찮아"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T01:29:59.067591","""응, 잘 쉬고 나중에 또 얘기하자! 안뇽~ 😊""","female","알겠옹 안뇽"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T03:26:06.960954","ㅇㅇ?","male","야"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T03:26:17.911123","ㅋㅋ 미안하다. 요즘 어때?","male","ㅇㅇ? 싸가지 뭐냐?"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T03:26:28.126156","""ㄹㅇ, 내가 좀 오글거렸네. 뭐 재밌는 일 있냐?""","male","오글거리게 그런건 왜묻냐"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T03:26:45.209700","""그렇지, 뭐. 요즘 다 그런 거 같아. ㅈ같지 않냐?""","male","있겠냐? 맨날 똑같지"
"b3261bef-386c-4258-93e2-39d2b8ecf20b","2025-06-25T03:27:17.439220","""에휴, 진짜 개빡치겠다. 뭐라도 좀 풀어야 하는데.""","male","ㄹㅇ 개ㅈ같음"
"e39da918-59d3-4762-bbeb-fb9959ba03c3","2025-06-25T01:41:30.837706","""ㅇㅇ, 왔냐?""","male","어이"
"e39da918-59d3-4762-bbeb-fb9959ba03c3","2025-06-25T01:41:43.439035","난 너랑 수다 떨러 온 챗봇이야. 뭐 할 말 있어?","male","넌 누구냐"
"e39da918-59d3-4762-bbeb-fb9959ba03c3","2025-06-25T01:41:54.789461","그냥 편하게 부르고 싶은 대로 불러. 난 다 좋아. ㅋㅋ 너는 뭐라 불리길 원해?","male","이름이뭔데"
"e39da918-59d3-4762-bbeb-fb9959ba03c3","2025-06-25T01:42:48.059444","""아 그렇구나, 좀 귀찮게 굴었네. ㅋㅋ 미안! 한 번에 딱딱 맞춰서 말할게. 뭐 궁금한 거 있어?""","male","지금 내가 보는 화면엔 내가 한번 물어본 대답에 대해서도 네가 여러번에 걸쳐서 메세지를 보내는것으로 출력되는데"
